Name,CountryOrg,Country OperatorOwner,OperatorOwner,Users,Purpose,Purpose2,Orbit,TypeOrbit,LongitudeOfGEO,Perigeekm,Apogeekm,Eccentricity,Inclinationdegrees,Periodminutes,LaunchMasskg,DryMasskg,Powerwatts,LaunchDate,ExpectedLifetime,Contractor,CountryContractor,LaunchSite,LaunchVehicle,COSPARNumber,NORADNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAUSat-4,NR (1216),Denmark,University of Aalborg,Civil,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,442,687,1.77E-02,98.2,95.9,1,,,###############################################################################################################################################################################################################################################################,,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a,2016-025E,41460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-2 (Koreasat-8  ST-3),NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75.00,"35,778","35,793",1.78E-04,0.08,1436.03,"6,330",,"16,000",5/14/2617,15 yrs.,Space SystemsLoral,USA,Guiana Space Center,Ariane  5 ECA,2014-006A,39508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-2A,NR (1216),Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-75.00,"35,700","35,700",0.00E+00,0,1436.1,"1,800",,,,15 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-038A,41588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-3 (Agila 2  Mabuhay 1),Philippines,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,146.06,"35,769","35,802",3.91E-04,0.05,1436.07,"3,775","1,800","9,000",,15 yrs.,Space SystemsLoral,USA,Xichang Satellite Launch Center,Long March CZ3B,1997-042A,24901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-3A ,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-3.00,"35,788","35,803",1.78E-04,0.1,1436,"2,000",,,8/23/2781,15 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2015-010A,40424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-4 (ABS-2i  MBSat  Mobile Broadcasting Satellite  Han Byul),NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75.00,"35,780","35,793",1.54E-04,0.01,1436.1,"4,143","1,700","7,400",,12 yrs.,Space SystemsLoral,USA,Cape Canaveral,Atlas 3,2004-007A,28184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-6 (ABS-1  LMI-1  Lockheed Martin-Intersputnik-1),NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,159.00,"35,777","35,794",2.02E-04,0.01,1436.08,"2,894","1,730",6 800 (EOL),,15 yrs.,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-7 (Koreasat 3  Mugungwha 3),South Korea,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,116.18,"35,780","35,791",1.30E-04,0.01,1436.06,"3,500","1,800","4,800",2/6/4479,15 yrs.,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,1999-046A,25894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Orion 2 (Mentor  NROL 6  USA 139),USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,-26.00,"35,560","36,013",5.37E-03,7.72,1436.14,"4,500",,,10/31/3520,,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,1998-029A,25336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Orion 3 (Mentor  NROL 19  USA 171),USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,95.40,"35,589","35,984",4.68E-03,3.2,1436.1,"4,500",,,1/4/4616,,TRW Space and Electronics,USA,Cape Canaveral,Titan IV,2003-041A,27937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
